what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718387044
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372718390571
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1372718390898
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1372718391084
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372718391186
started,bundle,org.jboss.tools.jst.jsp,3.3.1.v20130102-1748-H95-Final,"org.jboss.tools.jst.jsp",1372718398976
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1372718399656
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1372718399688
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1372718399701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718408933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718433428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718434759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718557930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718561880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718563178
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372718566704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718573957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718579030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372718584015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718584618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718589144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718590012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718625179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718626584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718646242
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1372718646262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718648980
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1372718649368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718652441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372718657984
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1372718666485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718667423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718668398
error,log,,,"An error occurred while cleaning Tomcat v7.0 Server at localhost work directory.",1372718668407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718668463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718675985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718678276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718686143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1372718686161
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372718687291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372718690604
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1372718693054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718695969
error,log,,,"An error occurred while cleaning Tomcat v7.0 Server at localhost work directory.",1372718696645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718696667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718696716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718697553
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1372718700443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718700643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718726368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718732404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718746613
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372718752534
started,bundle,org.eclipse.wst.validation.ui,1.2.300.v201201050300,"org.eclipse.wst.validation.ui",1372718758509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718760573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718764264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372718801710
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1372718803656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372718807877
